codigo_ensayo,codigo_parametro,orden
01,0001,1
01,0002,2
01,0003,3
01,0004,4
02,0007,1
02,0008,2
03,0037,1
04,0017,1
05,0012,1
05,0028,2
06,0014,1
07,0020,1
07,0032,2
07,0054,3
08,0018,1
08,0019,2
09,0010,1
09,0012,2
09,0014,3
09,0020,4
09,0024,5
09,0028,6
09,0054,7
09,0069,8
10,0082,1
011,0021,1
012,0010,1
012,0011,2
014,0036,1
015,0023,1
016,0024,1
17,0021,1
17,0034,2
18,0032,1
19,0032,1
19,0054,2
20,0030,1
21,0016,1
22,0010,1
22,0011,2
22,0032,3
22,0069,4
23,0063,1
24,0008,1
25,0029,1
25,0047,2
26,0126,1
27,0029,1
27,0033,2
27,0047,3
28,0064,1
29,0010,1
30,0033,1
31,0034,1
32,0037,1
32,0038,2
32,0039,3
32,0043,4
33,0014,1
33,0020,2
33,0054,3
34,0005,1
34,0019,2
35,0010,1
35,0011,2
35,0014,3
35,0024,4
35,0069,5
36,0044,1
37,0011,1
37,0069,2
38,0055,1
39,0014,1
39,0020,2
39,0055,3
40,50,1
41,0017,1
41,0017,2
42,0054,1
43,0007,1
44,0145,1
45,0010,1
45,0052,2
45,0069,3
46,0075,1
47,0035,1
47,0145,2
48,0122,1
49,0056,1
50,0052,1
51,0144,1
52,0071,1
53,0055,1
53,0055,2
54,0065,1
54,0069,2
54,0145,3
55,0013,1
55,0052,2
55,0145,3
56,0013,1
56,0052,2
57,0013,1
57,0052,2
58,0066,1
58,0066,2
58,0066,3
58,0066,4
59,0013,1
60,0054,1
61,0035,1
62,0014,1
62,0014,2
63,0001,1
63,0001,2
63,0002,3
63,0002,4
63,0003,5
63,0003,6
63,0004,7
63,0004,8
63,0006,9
63,0006,10
64,0122,1
65,0068,1
66,0010,1
66,0012,2
66,0014,3
66,0020,4
66,0024,5
66,0035,6
66,0065,7
66,0069,8
67,0019,1
67,0056,2
68,0047,1
68,0070,2
69,0010,1
69,0052,2
69,0069,3
70,0011,1
70,0020,2
70,0024,3
70,0063,4
71,0056,1
71,0073,2
72,0083,1
73,0082,1
74,0076,1
75,0077,1
76,0001,1
76,0002,2
76,0003,3
76,0135,4
76,0136,5
77,0079,1
78,0007,1
78,0008,2
78,0076,3
78,0080,4
79,0001,1
79,0002,2
79,0003,3
79,0057,4
79,0081,5
80,0082,1
81,0084,1
82,0011,1
82,0084,2
83,0086,1
83,0087,2
83,0088,3
83,0089,4
83,0090,5
83,0091,6
85,0092,1
86,0093,1
87,0094,1
88,0095,1
89,0096,1
90,0097,1
90,0098,2
90,0099,3
90,0100,4
90,0101,5
90,0102,6
90,0103,7
90,0104,8
90,0105,9
90,0106,10
90,0107,11
90,0108,12
90,0109,13
91,0110,1
91,0111,2
91,0112,3
91,0113,4
91,0114,5
91,0115,6
92,0116,1
93,0020,1
93,0032,2
94,0093,1
95,0032,1
96,0086,1
96,0087,2
96,0088,3
96,0089,4
96,0090,5
96,0091,6
97,0008,1
97,0076,2
98,0119,1
99,0010,1
99,0014,2
99,0020,3
99,0024,4
99,0065,5
99,0069,6
99,0119,7
99,0120,8
100,0122,1
101,0122,1
102,0085,1
102,0086,2
102,0087,3
102,0088,4
102,0089,5
102,0090,6
102,0091,7
103,0085,1
103,0086,2
103,0087,3
103,0088,4
103,0089,5
103,0090,6
103,0091,7
104,0121,1
105,0054,1
106,0123,1
107,0122,1
107,0157,2
108,0146,1
109,0010,1
109,0012,2
109,0024,3
109,0028,4
109,0069,5
109,0145,6
110,0062,1
111,0010,1
111,0011,2
111,0024,3
111,0052,4
111,0069,5
112,0017,1
112,0128,2
113,0010,1
113,0013,2
114,0085,1
114,0086,2
114,0087,3
114,0088,4
114,0089,5
114,0090,6
114,0091,7
114,0129,8
115,0128,1
116,0128,1
117,0132,1
118,0001,1
118,0002,2
118,0003,3
118,0008,4
118,0076,5
118,0077,6
119,0052,1
119,0067,2
120,0010,1
120,0014,2
120,0061,3
120,0069,4
120,0084,5
121,0001,1
121,0002,2
121,0003,3
121,0136,4
122,0010,1
122,0013,2
122,0052,3
123,0010,1
123,0011,2
123,0013,3
123,0024,4
123,0084,5
123,0145,6
124,0010,1
124,0011,2
124,0036,3
124,0133,4
124,0134,5
125,0003,1
125,0049,2
125,0130,3
125,0135,4
125,0136,5
126,0011,1
126,0069,2
126,0095,3
126,0133,4
127,0013,1
127,0020,2
127,0052,3
127,0145,4
128,0020,1
128,0065,2
128,0069,3
128,0145,4
129,0020,1
129,0145,2
130,0013,1
130,0020,2
130,0032,3
130,0052,4
131,0020,1
131,0032,2
131,0065,3
131,0069,4
132,0020,1
132,0032,2
133,0026,1
133,0056,2
134,0062,1
135,0010,1
135,0013,2
135,0052,3
136,0137,1
137,0070,1
137,0138,2
138,0052,1
139,0096,1
139,0099,2
139,0139,3
140,0058,1
140,0150,2
140,0151,3
140,0152,4
140,0153,5
140,0154,6
140,0155,7
140,0156,8
141,0122,1
142,0032,1
143,0062,1
144,0150,1
144,0151,2
144,0152,3
144,0153,4
144,0154,5
144,0155,6
144,0156,7
145,0146,1
146,0096,1
147,0096,1
148,0013,1
148,0020,2
148,0032,3
148,0052,4
149,0157,1
150,0010,1
150,0011,2
150,0013,3
150,0024,4
150,0032,5
150,0084,6
151,0158,1
